pair_type,axis,weight,notes
protagonist_antagonist,role_complementarity,0.22,Funciones opuestas y claras
protagonist_antagonist,moral_tension,0.22,Choque ético central
protagonist_antagonist,tone_alignment,0.16,Debe convivir en el mismo tono
protagonist_antagonist,scale_alignment,0.12,Escala narrativa compatible
protagonist_antagonist,genre_support,0.10,Soporte de género
protagonist_antagonist,setting_fit,0.10,Ajuste de ambientación
protagonist_antagonist,arc_coherence,0.08,Coherencia con arco
protagonist_theme,arc_coherence,0.24,El tema debe alimentar el arco
protagonist_theme,core_drives_overlap,0.22,Solapamiento de motivaciones
protagonist_theme,tone_alignment,0.20,Alineación tonal
protagonist_theme,moral_alignment,0.18,Alineación moral
protagonist_theme,scale_alignment,0.16,Escala compatible
antagonist_theme,moral_tension,0.25,Tensión moral con tema
antagonist_theme,tone_alignment,0.20,Alineación tonal
antagonist_theme,scale_alignment,0.15,Escala compatible
antagonist_theme,genre_support,0.15,Soporte de género
antagonist_theme,setting_fit,0.15,Ajuste de ambientación
theme_event,embodiment_strength,0.30,Fuerza de materialización
theme_event,tone_alignment,0.25,Alineación tonal
theme_event,scale_alignment,0.20,Escala compatible
theme_event,genre_support,0.15,Soporte de género
theme_event,setting_fit,0.10,Ajuste de ambientación
theme_finale,arc_payoff,0.30,El final debe pagar el tema
theme_finale,tone_alignment,0.25,Alineación tonal
theme_finale,moral_coherence,0.20,Coherencia moral
theme_finale,scale_alignment,0.15,Escala compatible
theme_finale,genre_support,0.10,Soporte de género
setting_protagonist,natural_fit,0.30,Ajuste natural
setting_protagonist,reinterpretation_fit,0.20,Ajuste reinterpretado
setting_protagonist,tone_alignment,0.15,Alineación tonal
setting_protagonist,genre_support,0.15,Soporte de género
setting_antagonist,natural_fit,0.30,Ajuste natural
setting_antagonist,reinterpretation_fit,0.20,Ajuste reinterpretado
setting_antagonist,tone_alignment,0.15,Alineación tonal
setting_antagonist,genre_support,0.15,Soporte de género
setting_theme,natural_fit,0.25,Ajuste natural
setting_theme,reinterpretation_fit,0.25,Ajuste reinterpretado
setting_theme,tone_alignment,0.20,Alineación tonal
setting_theme,genre_support,0.20,Soporte de género
setting_event,natural_fit,0.25,Ajuste natural
setting_event,reinterpretation_fit,0.25,Ajuste reinterpretado
setting_event,tone_alignment,0.20,Alineación tonal
setting_event,genre_support,0.20,Soporte de género
setting_finale,natural_fit,0.20,Ajuste natural
setting_finale,reinterpretation_fit,0.20,Ajuste reinterpretado
setting_finale,tone_alignment,0.20,Alineación tonal
setting_finale,genre_support,0.20,Soporte de género
any_any,sensitivity_risk,0.12,Penalización transversal
any_any,novelty_bonus,0.04,Bonificación por novedad
